VARIABLE NAME                  | ADDRESS 
V24_SCOM_ADR                   | 0x00E9
V24_TXCNT                      | 0x0073
WARTUNGSINTERVALL              | 0x00B4
WWZUSTBM                       | 0x0074
WWZUSTKM                       | 0x0075
WW_HYS                         | 0x00CB
YPWM                           | 0x007E
Z_ION                          | 0x005F
select_FS_x                    | 0x0017
select_PR_x                    | 0x0017

--- Bits ---
Abgasklappe_anf                | 0x0017
BXCHG                          | 0x0003
B_TIRP_WD                      | 0x0007
CM_BAD_CNT                     | 0x0020
CM_KESS_CRC                    | 0x0026
CM_OTHER_MC                    | 0x0024
CM_RAM_CONST_DATA              | 0x0023
CM_S5_CRC                      | 0x0021
CM_SOFT_WD                     | 0x0025
CM_STAT_FLANKE                 | 0x0027
COMMON                         | 0x0058
DL_Comfort                     | 0x002B
DL_Zapfen                      | 0x002D
DREHZ_OK                       | 0x003F
DUMMY                          | 0x006D
EBUS_MS_RT                     | 0x0035
EBUS_MS_TR                     | 0x0036
EBUS_RX                        | 0x0030
EBUS_RX2                       | 0x0031
EBUS_TX1                       | 0x0034
EBUS_TX2                       | 0x0033
EBUS_TX7                       | 0x0032
EBUS_TX_ANF                    | 0x0037
EB_x                           | 0x0016
EM_ACT_OVFLOW                  | 0x001C
EM_DA_CROSS_TALK               | 0x0019
EM_DE_OVFLOW                   | 0x0018
EM_EE_RW_ERR                   | 0x001D
EM_RAM_ROM                     | 0x001F
EM_S5_DAT_CRC                  | 0x001E
EM_SYNC_IRPT                   | 0x001B
EM_SYNC_RES                    | 0x001A
ESTANDBY                       | 0x0001
E_EPB_INCON                    | 0x0040
E_S5_RESET                     | 0x0041
FLANKE_TNACHFACK               | 0x006E
FS_IN_1                        | 0x003A
FS_IN_2                        | 0x003B
FS_IN_3                        | 0x003C
FS_IN_4                        | 0x003D
FS_TASK_RDY                    | 0x0004
GDW                            | 0x0038
HZ_ANF                         | 0x0008
HZ_SW                          | 0x0011
HZ_frei                        | 0x0029
LDW                            | 0x0039
LO_FRELI                       | 0x0070
LO_ION                         | 0x0076
LO_KFLB                        | 0x006F
LO_KFLZ                        | 0x0071
LO_STB                         | 0x0074
LO_STBA                        | 0x0075
LO_VX_BAD                      | 0x0073
MC_B                           | 0x0000
MFE                            | 0x006B
MGDW                           | 0x0015
MRESTARTED                     | 0x0077
MTHGDWSTB                      | 0x006C
MV1_LAST                       | 0x006E
NG_N_LEV                       | 0x000D
OPTLDW_VSP                     | 0x007A
OPTNACHFAC                     | 0x0079
OPTNOEMERGENCYRESET            | 0x007F
OPTNOLDW                       | 0x007C
OPTRESTART                     | 0x0078
OPT_GDW                        | 0x007E
OPT_NGIST                      | 0x007B
OPT_TC                         | 0x007D
POWERON                        | 0x0041
PROG_REL_1                     | 0x005C
PROG_REL_2                     | 0x005D
PROG_REL_3                     | 0x005F
PUHZ                           | 0x005E
PUHZANF                        | 0x0044
PUWW                           | 0x0010
PUWWANF                        | 0x0043
PuFrSanf                       | 0x0028
QQ_FLAG                        | 0x0014
RC_ON                          | 0x000E
REF_OK                         | 0x0047
RTH                            | 0x000C
SARBLDW                        | 0x0062
SFAULT                         | 0x006A
SFLASTAB                       | 0x0066
SNACHFACK                      | 0x0068
SNBL                           | 0x0069
SREGFREI                       | 0x0067
SRUHELDW                       | 0x0061
SSTANDBY                       | 0x0060
SSZA                           | 0x0065
STB                            | 0x0012
STBA                           | 0x0046
