BtnReadProgHz1,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgHz2,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgHz3,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgWW,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgZirk,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnResetHistorie,,0 (Aus) | 1 (Prog 3) | 2 (Vorlauf Max),cbbxP371_FS2.Items,0 (Aus) | 1 (Prog 3) | 2 (Vorlauf Max),EGrpP396_FS2.Items,396 Legionellen-Solltemp#°C,cbbxP401_FS2.Items,0 (Aus) | 1 (WW Normal) | 2 (WW Maximal),CbbxExtRaumfuehler_FS2.Items,"--,""ext. Raumfühler | int. Raumfühler"",--,""Im Kessel",TfrmWCMFS1.HelpFile,stCollections,stCharSets,TfrmWCMFS1,RUSSIAN_CHARSET
BtnResetHistorieClick,TIB_STRINGLIST,Nederlands,Dansk,Swedish,Norwegian,Slovenski,Hrvatski,Magyar,Polski,Russian,Greece,Language,Deutsch,TranslationData,stCaptions
BtnWriteEndanwender,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteFM_HZK1,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteFM_HZK2,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteFM_WW,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteProgHz1,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteProgHz2,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteProgHz3,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
CbBxP382,TComboBox,csDropDownList,ItemHeight,Aus,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20
CbBxP383,TComboBox,ItemHeight,15 min,30 min,45 min,1 h,1 h 15min,1 h 30 min,1 h 45 min,2h 15 min,2h 30 min,2h 45 min,3h 15 min,3h 30 min,3h 45 min
CbBxP384,TComboBox,Style,csDropDownList,ItemHeight,Aus,,,,,,,,,,
CbBxP385,TComboBox,Style,csDropDownList,ItemHeight,Schwer,Leicht,,,,,,,,,
CbBxP386,TComboBox,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxP387,TComboBox,csDropDownList,ItemHeight,15 min,30 min,45 min,60 min,75 min,90 min,105 min,120 min,135 min,150 min,165 min,180 min
CbBxP388,TComboBox,Style,csDropDownList,ItemHeight,Aus,Tag Aus,,,,,,,,,
CbBxP389,TComboBox,Style,csDropDownList,ItemHeight,Aus,Tag Aus,,,,,,,,,
CbBxP390,TComboBox,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,EGrpP383,383 Ein Opti ist,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor
CbBxP394,TCheckBox,EditWithColor,ChBxP401_1_FS2,Bei Deckung,ChBxP401_2_FS2,Bei Überschuss,cbbxP401_FS2,Style,csDropDownList,ItemHeight,0 (Aus),1 (WW Normal),2 (WW Maximal),ChkbxP402_FS2,402 T2 verwendbar
CbBxP395,TComboBox,Style,csDropDownList,ItemHeight,Aus,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,täglich,,
CbBxP396,TComboBox,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
CbBxP397,TComboBox,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDiAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDiAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDiAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDiEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDiEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDiEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDoAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDoAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDoAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDoEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDoEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWDoEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWFrAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWFrAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWFrAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWFrEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWFrEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
