Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
EdtPassword,,PasswordChar,OnKeyPress,,,,,,,,,,,,
EdtPasswordKeyPress,TButton,DL-Passwort,DL password,Mot de passe DL,Password DL,Contraseña DL,DL-paswoord,DL password,DL-password,DL lozinka,DL-kódszó,has³o DL,Ïàðîëü ãðàôèêè,btnOk,&OK
LblPassword,TButton,Podaj has³o,Ââåñòè ïàðîëü,stHints,TfrmAccessLevel,btnCancel,btnDongleSearch,btnGraficAccess,btnGraficPW,btnOk,stDisplayLabels,stFonts,TfrmAccessLevel,Microsoft Sans Serif,stMultiLines
strcInvalidPassword,,Ungültiges Passwort!,Invalid password,Mot de passe non valable !,Password non corretta!,Contraseña incorrecta,Ongeldig paswoord!,Ugyldigt password,Ogiltigt password,Neispravna lozinka,Érvénytelen kódszó!,Haslo nieaktualne!,Íåäåéñòâèòåëüíûé ïàðîëü!,,
strcPWOkDatenauswahlFreigeschaltet,,Passwort OK! Erweiterte Datenauswahl beim DataLogger freigeschaltet.,Password OK! Additional data selection for DataLogger ready.,Mot de passe OK ! Accès au choix de données étendu autorisé.,Password OK! La selezione dati ampliata nel Data Logger è resa accessibile.,¡Contraseña correcta! Selección ampliada de datos en DataLogger.,Paswoord OK! Bijkomende datakeuze bij DataLogger vrijgegeven.,Password er OK! Udvidet dataudvalg ved datalogger mulig.,Password OK! Extra datatillgang,Lozinka OK! Daljnji izbor podataka u DataLoggeru slobodno uklapajuæi.,Kódszó OK! Bõvített adatválaszték a DataLogger-nél engedélyezve.,Haslo OK! Dodatkowy wybór danych dla DataLogger aktywny.,Ïàðîëü OK! Îòêðûò äîñòóï ê ðàñøèðåííîìó âûáîðó äàííûõ â ðåãèñòðàòîðå äàííûõ,,
strcSchluesselAnfordern,,Bitte Schlüssel anfordern.,Please ask for key.,Demander la clé.,Prego richiedere la chiave.,Pedir llave.,Gelieve sleutel op te vragen,Bestil nøgle,Begär nyckel,Molim pribavite kljuè,Kérje meg a kódszót.,Wymagany klucz.,Òðåáóéòå êëþ÷.,,
strcSchluesselEingegeben,,Inserire la chiave e azionare nuovamente il pulsante.,Poner llave y pulsar botón.,Sleutelwoord ingeven en schakelniveau opnieuw activeren!,Indsæt nøgle og kvitter igen,Ange nyckel och bekräfta igen,Unesite kljuè i ponovno pritisnite tipku!,Kódszót megadni és ismét mûködtetni a kapcsolási felületet!,Wpisz klucz i nacisnij ponownie przycisk!,Âñòàâèòü êëþ÷ è ïîâòîðíî íàæàòü êíîïêó!,TfrmAccessLevel.HelpFile,stCollections,stCharSets,TfrmAccessLevel,RUSSIAN_CHARSET
