Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
strcVLIstSTB,,VL-Ist (eSTB),Sup. act. (eSTB),Départ réel (eSTB),Mandata attuale (eSTB),Ida real (eSTB),VT reëel (eSTB),Aktuel fremløb (eSTB),Framl.-Är (eSTB),VL-iznosi (eSTB),elõre-tény (eSTB),rzecz. t. zasilania (eSTB),Ïðÿì-Ôàêò (eSTB),,
strcVLSoll,,VL-Soll,Supply set point,Consigne départ,Mandata nomin.,Ida consigna,VT instelw.,Beregnet fremløb,Framl.-Bör,VL-zadano,elõre-par,zad. t. zasilania,Ïðÿì-Çàäàí,,
strcVLSollHZK,,VL-Soll HZK,Sup. set point heat.,Consigne départ circuit chauffage,Mandata nomin. circuito riscald.,Ida consigna Cto.,VT instelw. SK,Aktuel fremløbstemperatur varme,Framl.-Bör HZK,VL-treba HZK,elõre-par HZK,zad. t. zasilania obiegu grz.,Ïðÿì-Çàäàí HZK,,
strcVL_Mod_Soll,,VL/Mod-Sollwert,Sup./Mod setpoint,Mandata setpoint,Sup./Mod setpoint,,,,,,,,,,
strcVentil1,,.Ventil 1,Valve 1,Vanne 1,Valvola 1,Válvula 1,Ventiel 1,Ventil 1,szelep 1,zawór 1,Êëàïàí 1,,,,
strcVentil2,,.Ventil 2,Valve 2,Vanne 2,Valvola 2,Válvula 2,Ventiel 2,Ventil 2,szelep 2,zawór 2,Êëàïàí 2,,,,
strcWDW,,.WDW,.WPS,.Pressostato acqua,.WPS,TfrmDataSelect.HelpFile,stCollections,stCharSets,TfrmDataSelect,RUSSIAN_CHARSET,,,,,
strcWWAuslaufB12,,WW-Auslauf B12,DHW outlet B12,Sortie ECS B12,Erogazione acqua calda B12,ACS ida B12,WW-uitloop B12,VV-fremløb B12,VV-utlopp B12,PTV izlaz B12,HMV-ki B12,t. wyplywu c.w.u. B12,Âûõîä ÃÂ B12,,
strcWWFG,,.WW-FG,DHW FG,ECS-FG,Consenso AC,ACS FG,WW-FG,VV-frigivelse,VV FG,PTV izlaz B13,HMV-,zezwolenie na przyg. c.w.u.,Ïóñê ÃÂÑ,,
strcWWIst,,WW-Ist,DHW actual,ECS Réel,Acqua calda attuale,ACS real,WW reëel,Aktuel VV,VV Är,PTV iznosi,HMV-tény,rzecz. t. c.w.u.,ÃÂ-Ôàêò,,
strcWWIstB3,,WW-Ist B3,DHW actual B3,ECS réel B3,Acqua calda attuale B3,ACS real B3,WW reëel B3,Aktuel VV B3,VV Är B3,PTV iznosi na B3,HMV-tény B3,rzecz. t. c.w.u. B3,ÃÂ-Ôàêò B3,,
strcWWSoll,,WW-Soll,DHW set point,Consigne ECS,Acqua calda nomin.,ACS consigna,WW instelw.,Beregnet VV,VV Bör,PTV zadana,HMV-par,zad. temp. c.w.u.,ÃÂ-Çàäàí,,
strcWWTurbine,,WW-Turbine,DHW turbine,ECS-Turbine,Turbina AC,ACS turbina,WW-turbine,VV-flowføler,VV-turbin,PTV turbina,HMV-turbina,Òóðáèíà ÃÂ,,,
strcZirkpumpe,,.Zirkpumpe,Circ. ump,,,,,,,,,,,,
strcZirktemp,,Zirktemp.,Circ. temp.,,,,,,,,,,,,
strcZuendung,,.Zündung,Ignition,Allumage,Accensione,Encendido,Ontsteking,Tænding,Tändning,paljenje,gyújtás,zap³on,Çàæèãàíèå,,
